rank,title,year,genre,language,flickmetrix_score,imdb_100,imdb_votes,metacritic,critic_rating_rt,critic_reviews,audience_rating,audience_reviews,letterboxd,letterboxd_votes,google_score,imdbid,custom_score,score_diff
1,the godfather,1972,drama crime,english,93.0,92.0,2108796,100.0,96.0,104,95.0,1087289,90,1789555,90.0,tt0068646,93.83,1.0
2,seven samurai,1954,action drama,japanese,93.0,86.0,381712,98.0,97.0,68,94.0,167123,92,318537,93.0,tt0047478,93.33,3.0
3,12 angry men,1957,drama,english,92.0,90.0,917215,97.0,93.0,58,94.0,376697,92,917590,91.0,tt0050083,92.83,1.0
4,schindlers list,1993,drama history war,english,92.0,90.0,1512905,95.0,93.0,82,94.0,601555,90,978054,93.0,tt0108052,92.5,1.0
5,the godfather part ii,1974,drama crime,english,92.0,90.0,1420179,90.0,95.0,80,94.0,586600,92,934120,89.0,tt0071562,91.67,1.0
6,rear window,1954,thriller mystery,english,91.0,85.0,542959,100.0,95.0,94,92.0,303476,88,607614,90.0,tt0047396,91.67,3.0
7,pulp fiction,1994,thriller crime,english,91.0,89.0,2319136,95.0,94.0,132,93.0,1731042,86,2931535,92.0,tt0110912,91.5,1.0
8,city lights,1931,comedy drama romance,english,91.0,85.0,205619,99.0,94.0,52,92.0,66173,86,144013,92.0,tt0021749,91.33,2.0
9,spirited away,2001,animation family fantasy,japanese,90.0,86.0,901217,96.0,89.0,134,93.0,1052053,88,2478980,95.0,tt0245429,91.17,4.0
10,parasite,2019,comedy thriller drama,korean,91.0,85.0,1050592,97.0,95.0,314,88.0,1273882,90,3771374,90.0,tt6751668,90.83,7.0
11,modern times,1936,comedy drama romance,english,90.0,85.0,271086,96.0,95.0,72,92.0,97048,86,210247,90.0,tt0027977,90.67,3.0
12,goodfellas,1990,drama crime,english,90.0,87.0,1315490,92.0,91.0,95,94.0,766130,90,1435501,89.0,tt0099685,90.5,3.0
13,the good the bad and the ugly,1966,western,italian,89.0,88.0,847249,90.0,89.0,58,94.0,328668,90,504912,91.0,tt0060196,90.33,5.0
14,dr strangelove or how i learned to stop worrying and love the bomb,1964,comedy war,english,90.0,83.0,535648,97.0,93.0,87,90.0,298335,86,475057,92.0,tt0057012,90.17,3.0
15,casablanca,1942,drama romance,english,90.0,85.0,628003,100.0,96.0,96,91.0,429846,86,572792,83.0,tt0034583,90.17,5.0
16,the battle of algiers,1966,drama war history,italian,90.0,81.0,70309,96.0,92.0,67,91.0,37316,88,82844,92.0,tt0058946,90.0,1.0
17,singin in the rain,1952,comedy romance,english,90.0,83.0,270897,99.0,95.0,62,91.0,242729,86,450117,86.0,tt0045152,90.0,4.0
18,some like it hot,1959,comedy romance crime,english,89.0,82.0,293363,98.0,93.0,77,90.0,143114,86,264180,90.0,tt0053291,89.83,3.0
19,psycho,1960,horror thriller mystery,english,89.0,85.0,748078,97.0,94.0,97,92.0,491167,86,991319,85.0,tt0054215,89.83,2.0
20,apocalypse now,1979,drama war,english,89.0,84.0,737539,94.0,92.0,117,91.0,429279,88,714063,89.0,tt0078788,89.67,1.0
21,double indemnity,1944,crime thriller,english,89.0,83.0,173790,95.0,93.0,72,91.0,79935,86,167927,89.0,tt0036775,89.5,2.0
22,rashomon,1950,crime drama mystery,japanese,89.0,82.0,188349,98.0,94.0,52,90.0,105423,84,219549,88.0,tt0042876,89.33,4.0
23,lawrence of arabia,1962,adventure history war,english,89.0,83.0,327276,100.0,96.0,82,89.0,129761,88,238330,80.0,tt0056172,89.33,7.0
24,all about eve,1950,drama,english,89.0,82.0,143727,98.0,95.0,73,90.0,66740,88,109394,83.0,tt0042192,89.33,5.0
25,portrait of a lady on fire,2019,drama romance history,french,89.0,81.0,117917,95.0,91.0,197,89.0,275015,88,819613,91.0,tt8613070,89.17,2.0
26,a separation,2011,drama,persian,89.0,83.0,267944,95.0,91.0,117,88.0,62517,88,141543,89.0,tt1832382,89.0,3.0
27,one battle after another,2025,action thriller crime,english,89.0,82.0,115333,95.0,91.0,211,87.0,198274,88,396256,86.0,tt30144839,89.0,4.0
28,the lord of the rings the return of the king,2003,adventure fantasy action,english,89.0,90.0,2064721,94.0,89.0,172,85.0,23617405,90,1492669,85.0,tt0167260,88.83,4.0
29,citizen kane,1941,mystery drama,english,89.0,83.0,478970,100.0,98.0,96,87.0,273099,84,499118,81.0,tt0033467,88.83,11.0
